name,price,change,high_low,volume,marketcap
SIS/Symbiosis,0.9683,+5.03 %,1.144/0.9154,"551,714.09","$9,402,193"
XEND/Xend Finance,0.071,+2.89 %,0.0721/0.0675,"546,059.83","$5,627,239"
BOA/BOSAGORA,0.0913,-4.29 %,0.0958/0.0892,"541,994.76","$27,170,426"
FXS/ Frax Share ,27.613,+2.02 %,28.403/26.841,"527,225.91","$199,985,606"
ZEN/ Horizen ,32.8,-1.56 %,33.73/31.76,"525,473.08","$403,431,177"
BAND/ Band ,3.399,+0.59 %,3.517/3.236,"522,832.67","$119,617,000"
PRQ/ PARSIQ Token ,0.2237,-7.02 %,0.2407/0.2118,"522,455.71","$34,296,055"
ANML/ Animal Concerts ,0.0089386,-4.16 %,0.0095476/0.0088732,"515,537.88","$2,011,185"
OCT/ Octopus Network ,1.7896,-3.08 %,1.8904/1.7659,"510,683.13","$53,688,000"
WNZ/Winerz,0.02,+67.08 %,0.024/0.011083,"509,171.66",$-
AURORA/Aurora,8.2189,-7.12 %,8.8644/8.0501,"506,304.06",$-
INJ/ Injective Protocol ,4.208,-1.65 %,4.335/4.097,"500,506.87","$204,735,906"
CWEB/ Coinweb ,0.02658,+1.61 %,0.027853/0.026101,"493,762.41",$-
SDN/ ShidenNetwork ,0.8148,-4.12 %,0.852/0.7952,"492,895.88","$41,805,534"
WOM/WOM Protocol,0.0933,-3.21 %,0.0967/0.091,"489,268.51",$-
ZKT/zkTube,10.168,+5.25 %,10.61/9.384,"487,156.33","$187,904,640"
STARL/ STARLINK ,0.000009059,-2.75 %,0.000009562/0.000008807,"484,503.26","$90,408,820"
CRPT/Crypterium,0.33599,-0.02 %,0.35185/0.32806,"483,166.58","$27,357,829"
CFX/ Conflux ,0.1543,+0.84 %,0.155/0.1503,"472,833.32","$220,993,897"
PHA/ Phala ,0.2625,-0.11 %,0.2654/0.2574,"470,739.69",$-
SAITAMA/Saitama,0.000000005458,+3.46 %,0.000000005769/0.000000005075,"470,082.19",$-
RENA/WARENA,0.1573,-10.11 %,0.2175/0.1539,"467,779.05",$-
AIOZ/AIOZ Network,0.1647,+1.47 %,0.1702/0.1604,"467,766.41","$74,469,167"
ANT/ Aragon ,3.811,-0.26 %,3.901/3.647,"465,992.98","$150,951,892"
10SET/Tenset,2.354,-1.87 %,2.436/2.202,"464,409.62","$212,540,501"
EFI/ Efinity ,0.3805,-0.75 %,0.3915/0.3619,"463,945.45","$64,630,772"
RSR/ ReserveRights ,0.0111,-2.97 %,0.01156/0.01081,"463,079.64","$146,075,974"
CREAM/Cream,40.62,+1.88 %,40.99/38.05,"462,680.86","$25,037,274"
DEGO/ Dego Finance ,2.7767,-0.86 %,2.8658/2.7067,"462,669.91","$23,900,120"
STI/Seek Tiger,1.611442,+1.98 %,1.639999/1.5,"461,882.29",$-
BAT/ BasicAttentionToken ,0.6603,-1.49 %,0.68/0.6474,"460,548.53","$988,855,258"
AGLD/ Adventure Gold ,1.0095,+1.61 %,1.0368/0.9642,"459,759.81","$70,836,616"
SWFTC/SwftCoin,0.0027043,-1.30 %,0.002779/0.0026809,"458,796.11","$9,465,050"
ARPA/ ARPA ,0.06129,+0.03 %,0.06342/0.05931,"455,761.90","$76,176,660"
TRU/ TrustToken ,0.1828,-1.93 %,0.1913/0.1782,"455,080.19","$25,703,231"
LINA/ Linear ,0.02228,+3.43 %,0.02414/0.02118,"452,175.47","$72,933,251"
MASK/ Mask Network ,4.098,+7.55 %,4.161/3.729,"450,051.11","$36,882,000"
ZCX/Unizen,0.9835,+0.09 %,0.9953/0.9433,"449,861.94","$33,193,125"
ZKS/ ZKSpace ,0.0969,+1.46 %,0.0993/0.0931,"448,911.14","$20,004,036"
BTRST/Braintrust,3.866,-2.20 %,3.954/3.834,"447,293.60","$64,022,684"
KAR/ Karura ,1.2496,-0.23 %,1.2889/1.2301,"446,869.94","$35,696,827"
ROUTE/Router Protocol,2.758,-5.90 %,2.955/2.65,"445,389.50","$13,898,017"
XNL/Chronicle,0.10166,-3.88 %,0.10884/0.09931,"444,941.49",$-
SUKU/ SUKU ,0.2008,+0.34 %,0.2046/0.1964,"440,202.66","$16,171,530"
SCRT/Secret,4.719,+16.80 %,4.917/4.01,"439,703.76","$694,202,652"
AOG/AgeOfGods,0.10074,+1.05 %,0.10469/0.09522,"438,162.59",$-
REN/ Ren ,0.3379,+0.74 %,0.3517/0.3234,"436,709.36","$337,574,771"
UNO/Uno Re,0.17431,-0.22 %,0.18101/0.17156,"435,765.74","$29,024,331"
SUPER/ SuperFarm ,0.4991,-1.46 %,0.5224/0.498,"433,978.47","$54,401,900"
MNW/Morpheus.Network,1.2375,-1.64 %,1.3982/1.2171,"430,583.78",$-
SFUND/Seedify.fund (SFUND,3.1895,-2.76 %,3.3433/3.1501,"427,480.55","$47,842,500"
SYS/ Syscoin ,0.54681,+8.86 %,0.57645/0.49566,"426,720.98","$348,187,684"
HSF/Hillstone Finance,3.3718,-5.47 %,3.57/3.119,"408,209.25",$-
MTS/Metastrike,0.071054,-10.33 %,0.079472/0.068806,"400,658.38",$-
NIF/Unifty,17.933,-2.03 %,18.461/17.889,"399,046.84","$20,650,334"
