name,price,change,high_low,volume,marketcap
DASH/USDT,94.50/ 94.51 USD,-0.74 %,96.30/91.56,"179,818.47 USDT",
ZEON/USDT,0.00193930/ 0.00194 USD,1.66 %,0.00208449/0.00177350,"179,537.13881620 USDT",
NULS/USDT,0.4099/ 0.410 USD,1.39 %,0.4179/0.3962,"178,834.2137 USDT",
ATLAS/USDT,0.01975018/ 0.0198 USD,-1.48 %,0.02012000/0.01948170,"178,579.68475060 USDT",
DES/USDT,0.03332/ 0.0333 USD,-0.74 %,0.03378/0.03318,"178,473.56798 USDT",
SAITAMA/USDT,0.000000005551/ &lt; 0.000001 USD,3.87 %,0.000000005799/0.000000005167,"178,212.211566279578 USDT",
ZINU/USDT,0.000000021976/ &lt; 0.000001 USD,0.82 %,0.000000023430/0.000000020006,"177,505.004692859836 USDT",
BAT/USDT,0.6618/ 0.662 USD,-1.71 %,0.6787/0.6481,"177,439.3008 USDT",
SUN/USDT,0.01367/ 0.0137 USD,1.33 %,0.01435/0.01313,"176,958.93597 USDT",
FET/USDT,0.3123/ 0.312 USD,-0.57 %,0.3306/0.3000,"176,947.8084 USDT",
TRU/USDT,0.1927/ 0.193 USD,3.10 %,0.1994/0.1750,"176,841.4000 USDT",
NYN/USDT,0.00601/ 0.00601 USD,13.18 %,0.00696/0.00525,"176,640.57446 USDT",
DVDX/USDT,0.0027967/ 0.00280 USD,7.36 %,0.0030073/0.0025577,"173,908.9903054 USDT",
XCH/USDT,61.01/ 61.02 USD,-2.54 %,63.56/60.87,"173,595.71 USDT",
BRISE/USDT,0.00000108/ 0.000001 USD,3.85 %,0.00000114/0.00000099,"172,566.28272964 USDT",
ACYC/USDT,0.00000695/ 0.000007 USD,-1.42 %,0.00000717/0.00000675,"169,939.24809510 USDT",
BTT/USDT,0.000001770/ 0.000002 USD,0.00 %,0.000001801/0.000001739,"168,739.717340334 USDT",
SLC/USDT,0.451182/ 0.451 USD,-8.47 %,0.497997/0.423714,"168,323.565312 USDT",
BLP/USDT,0.072545/ 0.0726 USD,-6.83 %,0.078282/0.072497,"167,253.696322 USDT",
FINA/USDT,0.1646/ 0.165 USD,-20.25 %,0.2118/0.1609,"165,299.3067 USDT",
NFC/USDT,12.05/ 12.05 USD,-13.74 %,13.99/11.99,"164,772.71 USDT",
EUM/USDT,1.9897/ 1.99 USD,-0.56 %,2.0009/1.9794,"164,419.9571 USDT",
HEC/USDT,21.165/ 21.16 USD,-4.13 %,22.116/20.515,"163,462.977 USDT",
LIKE/USDT,0.0804/ 0.0804 USD,-0.50 %,0.0812/0.0799,"163,452.7532 USDT",
API3/USDT,3.9950/ 4 USD,1.49 %,4.0910/3.8060,"162,266.0188 USDT",
